date,campaign_name,campaign_id,adset_name,objective,spend,impressions,clicks,conversions,conversion_value
2026-04-09,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS3,OUTCOME_AWARENESS,1294.87,196696,2219,97,5169.37
2026-04-09,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS2,OUTCOME_SALES,355.37,51041,606,20,945.28
2026-04-09,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS3,OUTCOME_TRAFFIC,296.33,27138,322,7,643.41
2026-04-10,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS1,OUTCOME_AWARENESS,2288.29,223896,3432,144,5724.54
2026-04-10,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS3,OUTCOME_TRAFFIC,687.34,70198,744,41,2307.38
2026-04-10,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS3,OUTCOME_AWARENESS,1340.38,163287,3226,172,10317.47
2026-04-10,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS1,OUTCOME_SALES,460.14,65670,1202,57,3440.21
2026-04-10,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS2,OUTCOME_TRAFFIC,295.86,33696,203,3,199.56
2026-04-11,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS3,OUTCOME_AWARENESS,1473.11,130520,2734,45,3226.83
2026-04-11,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS2,OUTCOME_TRAFFIC,363.56,41845,669,18,1509.60
2026-04-11,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS1,OUTCOME_AWARENESS,804.78,87515,1744,69,5346.21
2026-04-11,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS1,OUTCOME_SALES,319.04,45227,793,34,2556.26
2026-04-11,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS3,OUTCOME_TRAFFIC,179.06,28473,234,13,1046.62
2026-04-12,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS1,OUTCOME_AWARENESS,1234.36,140871,2370,53,2512.99
2026-04-12,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS2,OUTCOME_TRAFFIC,506.39,51527,858,42,3331.87
2026-04-12,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS2,OUTCOME_AWARENESS,913.51,115360,1233,55,4617.17
2026-04-12,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS3,OUTCOME_SALES,222.90,31168,522,28,2135.24
2026-04-12,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS3,OUTCOME_TRAFFIC,147.51,14703,111,2,181.80
2026-04-13,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS1,OUTCOME_AWARENESS,1909.28,252050,4969,87,6740.16
2026-04-13,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS1,OUTCOME_TRAFFIC,617.77,56322,727,34,1437.48
2026-04-13,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS1,OUTCOME_AWARENESS,1708.65,172529,1969,78,2964.70
2026-04-13,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS1,OUTCOME_SALES,502.77,44446,429,16,1392.28
2026-04-13,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS1,OUTCOME_TRAFFIC,336.53,29092,402,21,1637.83
2026-04-14,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS3,OUTCOME_AWARENESS,1303.46,118842,1246,38,2154.60
2026-04-14,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS2,OUTCOME_TRAFFIC,746.30,114518,1991,34,2871.38
2026-04-14,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS3,OUTCOME_AWARENESS,1522.74,180756,1555,56,4899.81
2026-04-14,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS3,OUTCOME_SALES,349.36,40716,298,11,918.48
2026-04-14,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS1,OUTCOME_TRAFFIC,211.43,28404,427,7,469.59
2026-04-15,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS2,OUTCOME_AWARENESS,1759.91,205099,4153,159,7003.81
2026-04-15,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS2,OUTCOME_TRAFFIC,809.85,101233,685,31,1837.48
2026-04-15,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS3,OUTCOME_AWARENESS,1830.47,288790,3295,133,6720.87
2026-04-15,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS3,OUTCOME_SALES,524.37,82543,1671,53,3238.39
2026-04-15,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS3,OUTCOME_TRAFFIC,193.09,22893,473,7,659.79
2026-04-16,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS2,OUTCOME_AWARENESS,2061.68,309496,3348,125,8820.94
2026-04-16,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS2,OUTCOME_TRAFFIC,821.95,122656,2543,111,9017.46
2026-04-16,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS1,OUTCOME_AWARENESS,1034.68,147423,1388,57,2615.06
2026-04-16,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS3,OUTCOME_SALES,466.60,60710,805,14,707.27
2026-04-16,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS1,OUTCOME_TRAFFIC,313.65,28215,283,10,771.05
2026-04-17,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS1,OUTCOME_AWARENESS,1594.42,208763,3543,169,13327.27
2026-04-17,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS2,OUTCOME_TRAFFIC,522.39,81055,489,12,542.06
2026-04-17,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS3,OUTCOME_AWARENESS,1172.57,178949,2456,102,9337.15
2026-04-17,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS2,OUTCOME_SALES,483.42,57137,513,11,873.12
2026-04-17,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS1,OUTCOME_TRAFFIC,331.88,36192,576,10,438.25
2026-04-18,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS2,OUTCOME_AWARENESS,1282.76,164380,3145,170,10605.82
2026-04-18,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS2,OUTCOME_TRAFFIC,400.73,59829,1166,55,3799.72
2026-04-18,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS2,OUTCOME_AWARENESS,704.84,88032,1627,89,5947.09
2026-04-18,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS3,OUTCOME_SALES,289.66,27203,303,12,914.40
2026-04-18,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS3,OUTCOME_TRAFFIC,173.19,18282,350,13,728.02
2026-04-19,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS2,OUTCOME_AWARENESS,1454.83,162708,2472,80,7642.76
2026-04-19,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS2,OUTCOME_TRAFFIC,465.35,55450,953,21,1200.84
2026-04-19,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS1,OUTCOME_AWARENESS,826.79,88148,1470,37,2741.64
2026-04-19,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS1,OUTCOME_SALES,227.66,22767,180,3,201.74
2026-04-19,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS2,OUTCOME_TRAFFIC,200.20,17529,281,10,434.09
2026-04-20,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS1,OUTCOME_AWARENESS,2067.30,213278,2744,44,4057.73
2026-04-20,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS3,OUTCOME_TRAFFIC,549.31,77826,1284,58,5552.04
2026-04-20,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS3,OUTCOME_AWARENESS,1833.87,162546,3410,136,10021.97
2026-04-20,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS2,OUTCOME_SALES,444.24,40056,705,29,1517.74
2026-04-20,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS3,OUTCOME_TRAFFIC,278.34,35235,392,11,670.02
2026-04-21,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS2,OUTCOME_AWARENESS,2104.39,206303,1335,55,4993.98
2026-04-21,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS1,OUTCOME_TRAFFIC,625.87,74189,942,39,1491.71
2026-04-21,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS2,OUTCOME_AWARENESS,1601.46,221562,2215,89,4703.25
2026-04-21,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS1,OUTCOME_SALES,346.22,55760,868,24,1801.83
2026-04-21,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS1,OUTCOME_TRAFFIC,274.36,30016,357,10,831.95
2026-04-22,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS1,OUTCOME_AWARENESS,1833.05,238528,3061,156,10645.09
2026-04-22,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS3,OUTCOME_TRAFFIC,470.79,47305,506,17,1191.65
2026-04-22,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS2,OUTCOME_AWARENESS,1037.52,138071,2546,128,9590.03
2026-04-22,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS3,OUTCOME_SALES,436.91,49177,835,22,1044.67
2026-04-22,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS3,OUTCOME_TRAFFIC,259.44,23554,440,16,1535.55
2026-04-23,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS3,OUTCOME_AWARENESS,1855.91,214932,1757,77,4667.94
2026-04-23,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS2,OUTCOME_TRAFFIC,500.82,45131,650,16,854.05
2026-04-23,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS2,OUTCOME_AWARENESS,1526.46,135100,2525,49,2056.61
2026-04-23,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS1,OUTCOME_SALES,310.72,27357,251,11,540.78
2026-04-23,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS1,OUTCOME_TRAFFIC,307.95,32521,395,22,1948.21
2026-04-24,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS3,OUTCOME_AWARENESS,2304.46,360255,2253,99,7947.05
2026-04-24,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS1,OUTCOME_TRAFFIC,596.05,53227,709,29,1215.80
2026-04-24,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS3,OUTCOME_AWARENESS,1434.78,132106,1054,61,5688.21
2026-04-24,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS1,OUTCOME_SALES,498.65,62714,1157,40,2548.09
2026-04-24,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS3,OUTCOME_TRAFFIC,204.76,31862,644,37,2008.25
2026-04-25,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS1,OUTCOME_AWARENESS,1081.12,97222,767,16,697.78
2026-04-25,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS3,OUTCOME_TRAFFIC,349.42,34127,341,6,320.77
2026-04-25,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS1,OUTCOME_AWARENESS,978.66,128652,818,36,3186.69
2026-04-25,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS3,OUTCOME_SALES,252.09,31820,606,15,900.14
2026-04-25,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS1,OUTCOME_TRAFFIC,192.06,17361,240,12,675.93
2026-04-26,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS2,OUTCOME_AWARENESS,1259.62,111055,1492,74,3366.17
2026-04-26,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS3,OUTCOME_TRAFFIC,504.88,58321,918,36,1967.04
2026-04-26,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS1,OUTCOME_AWARENESS,1127.50,115254,1748,62,3316.86
2026-04-26,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS1,OUTCOME_SALES,309.49,29640,549,26,2279.72
2026-04-26,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS2,OUTCOME_TRAFFIC,155.40,14977,251,12,624.32
2026-04-27,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS1,OUTCOME_AWARENESS,2207.26,240012,1495,46,4044.72
2026-04-27,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS1,OUTCOME_TRAFFIC,702.66,87060,1339,53,2405.84
2026-04-27,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS2,OUTCOME_AWARENESS,1197.76,146122,2795,59,4565.76
2026-04-27,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS3,OUTCOME_SALES,516.66,52126,827,14,772.21
2026-04-27,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS2,OUTCOME_TRAFFIC,237.40,33147,357,7,556.92
2026-04-28,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS2,OUTCOME_AWARENESS,1963.58,292713,5819,214,10492.05
2026-04-28,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS1,OUTCOME_TRAFFIC,838.04,76311,884,19,992.75
2026-04-28,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS2,OUTCOME_AWARENESS,1784.38,194137,4040,93,7799.37
2026-04-28,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS2,OUTCOME_SALES,385.17,56219,594,31,1890.97
2026-04-28,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS3,OUTCOME_TRAFFIC,192.76,24901,305,15,762.46
2026-04-29,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS2,OUTCOME_AWARENESS,1431.57,181510,2251,36,3258.24
2026-04-29,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS2,OUTCOME_TRAFFIC,758.61,73775,825,34,3088.79
2026-04-29,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS2,OUTCOME_AWARENESS,1227.40,138421,1888,32,1990.69
2026-04-29,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS1,OUTCOME_SALES,528.84,47696,755,14,1038.25
2026-04-29,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS3,OUTCOME_TRAFFIC,260.24,24722,506,27,2589.85
2026-04-30,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS1,OUTCOME_AWARENESS,2212.41,291995,5199,256,14477.57
2026-04-30,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS2,OUTCOME_TRAFFIC,546.29,51305,331,6,298.68
2026-04-30,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS2,OUTCOME_AWARENESS,1534.13,168720,2599,96,8233.12
2026-04-30,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS2,OUTCOME_SALES,337.81,47018,466,11,757.51
2026-04-30,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS1,OUTCOME_TRAFFIC,235.03,22744,165,6,350.19
2026-05-01,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS1,OUTCOME_AWARENESS,1969.93,231874,2557,98,4147.88
2026-05-01,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS2,OUTCOME_TRAFFIC,792.84,105629,1490,56,5282.33
2026-05-01,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS1,OUTCOME_AWARENESS,1786.37,257769,2154,113,5896.26
2026-05-01,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS2,OUTCOME_SALES,485.59,65687,1297,57,2537.30
2026-05-01,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS2,OUTCOME_TRAFFIC,272.97,23541,220,6,333.60
2026-05-02,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS1,OUTCOME_AWARENESS,1453.18,134199,1458,27,2334.38
2026-05-02,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS1,OUTCOME_TRAFFIC,558.88,54832,396,22,1488.90
2026-05-02,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS1,OUTCOME_AWARENESS,748.44,76992,1471,45,3342.51
2026-05-02,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS1,OUTCOME_SALES,299.69,35311,358,15,1289.59
2026-05-02,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS1,OUTCOME_TRAFFIC,151.62,14098,212,11,723.05
2026-05-03,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS1,OUTCOME_AWARENESS,1039.83,136803,2567,71,4498.92
2026-05-03,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS3,OUTCOME_TRAFFIC,418.36,50984,987,18,822.10
2026-05-03,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS3,OUTCOME_AWARENESS,810.20,106735,699,31,1648.11
2026-05-03,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS2,OUTCOME_SALES,298.15,41686,833,22,1106.20
2026-05-03,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS3,OUTCOME_TRAFFIC,132.65,12577,134,6,535.73
2026-05-04,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS2,OUTCOME_AWARENESS,2283.22,358875,5386,182,14394.93
2026-05-04,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS3,OUTCOME_TRAFFIC,558.33,49288,778,14,1204.50
2026-05-04,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS1,OUTCOME_AWARENESS,1232.60,126733,1283,21,1846.76
2026-05-04,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS1,OUTCOME_SALES,547.58,74690,1387,61,3188.27
2026-05-04,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS3,OUTCOME_TRAFFIC,269.41,35141,703,20,1667.85
2026-05-04,ACME_NA_SOCIAL_PROMO_Q2,2384863573,ACME_NA_SOCIAL_PROMO_Q2__AS1,OUTCOME_SALES,2599.76,221471,2800,152,6484.60
2026-05-05,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS1,OUTCOME_AWARENESS,1405.59,162815,1109,42,3549.84
2026-05-05,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS1,OUTCOME_TRAFFIC,649.92,57578,711,22,1331.24
2026-05-05,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS3,OUTCOME_AWARENESS,1194.49,138928,2189,57,3011.03
2026-05-05,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS3,OUTCOME_SALES,350.62,54616,919,34,1575.57
2026-05-05,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS1,OUTCOME_TRAFFIC,255.40,34202,709,27,1945.56
2026-05-05,ACME_NA_SOCIAL_PROMO_Q2,2384863573,ACME_NA_SOCIAL_PROMO_Q2__AS2,OUTCOME_SALES,1807.49,161184,2902,90,6349.63
2026-05-06,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS2,OUTCOME_AWARENESS,1836.68,268195,2525,86,7932.30
2026-05-06,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS3,OUTCOME_TRAFFIC,738.11,67310,787,18,1039.87
2026-05-06,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS2,OUTCOME_AWARENESS,1759.50,149622,1498,86,4263.35
2026-05-06,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS2,OUTCOME_SALES,336.14,32462,512,28,2311.12
2026-05-06,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS3,OUTCOME_TRAFFIC,264.84,22605,394,9,485.66
2026-05-06,ACME_NA_SOCIAL_PROMO_Q2,2384863573,ACME_NA_SOCIAL_PROMO_Q2__AS1,OUTCOME_SALES,2108.01,284985,5387,132,12636.06
2026-05-07,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS2,OUTCOME_AWARENESS,1526.39,145409,1017,24,1794.87
2026-05-07,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS2,OUTCOME_TRAFFIC,634.60,57734,366,14,1059.39
2026-05-07,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS1,OUTCOME_AWARENESS,1762.41,255015,4941,131,11200.90
2026-05-07,Retargeting Q2 (new),2384892081,Retargeting Q2 (new)__AS3,OUTCOME_SALES,543.51,78640,1085,55,3087.64
2026-05-07,ACME_APAC_SOCIAL_Q2,2384876907,ACME_APAC_SOCIAL_Q2__AS2,OUTCOME_TRAFFIC,232.55,24235,248,10,584.51
2026-05-07,ACME_NA_SOCIAL_PROMO_Q2,2384863573,ACME_NA_SOCIAL_PROMO_Q2__AS2,OUTCOME_SALES,1926.46,202089,2029,89,5990.88
2026-05-08,ACME_NA_SOCIAL_Q2,2384801433,ACME_NA_SOCIAL_Q2__AS2,OUTCOME_AWARENESS,2182.25,225416,3744,154,7144.51
2026-05-08,ACME_NA_SOCIAL_ALWAYSON,2384888254,ACME_NA_SOCIAL_ALWAYSON__AS2,OUTCOME_TRAFFIC,669.30,59458,570,29,2463.30
2026-05-08,ACME_EMEA_SOCIAL_Q2,2384800758,ACME_EMEA_SOCIAL_Q2__AS3,OUTCOME_AWARENESS,1485.33,173411,1969,44,3545.14
