week_start_date,campaign,campaign_id,ad_group,campaign_type,currency,cost_micros,impr.,clicks,conversions,conv_value
2026-06-08,ACME_NA_SEARCH_Q2,16801433,ACME_NA_SEARCH_Q2::ag2,Search,USD,10207955081,130276,5682,98.66,5612.34
2026-06-08,acme-na-search-alwayson,21488254,acme-na-search-alwayson::ag1,Search,USD,3258509493,43683,1594,76.17,4160.71
2026-06-08,ACME_EMEA_SEARCH_Q2,21000758,ACME_EMEA_SEARCH_Q2::ag3,Performance Max,GBP,7514067140,166594,6379,166.08,18259.83
2026-06-08,ACME_NA_SEARCH_RETARGET_Q2,15592081,ACME_NA_SEARCH_RETARGET_Q2::ag3,Search,USD,2616441850,18492,1286,19.60,1857.66
2026-06-08,ACME-APAC-SEARCH-Q2,17076907,ACME-APAC-SEARCH-Q2::ag2,Display,USD,1518852740,12240,530,14.22,885.20
2026-06-15,ACME_NA_SEARCH_Q2,20801433,ACME_NA_SEARCH_Q2::ag1,Search,USD,7546642001,72630,3199,84.74,8714.63
2026-06-15,acme-na-search-alwayson,20488254,acme-na-search-alwayson::ag3,Search,USD,3100677255,74507,2995,93.35,5173.35
2026-06-15,ACME_EMEA_SEARCH_Q2,14000758,ACME_EMEA_SEARCH_Q2::ag2,Performance Max,GBP,5826093527,59941,5056,205.74,19412.87
2026-06-15,ACME_NA_SEARCH_RETARGET_Q2,16592081,ACME_NA_SEARCH_RETARGET_Q2::ag1,Search,USD,2722177727,13098,1067,30.71,1665.28
2026-06-15,ACME-APAC-SEARCH-Q2,14076907,ACME-APAC-SEARCH-Q2::ag1,Display,USD,1512333632,11817,472,9.45,790.96
2026-06-22,ACME_NA_SEARCH_Q2,19801433,ACME_NA_SEARCH_Q2::ag1,Search,USD,11118583066,54889,4552,117.17,8236.00
2026-06-22,acme-na-search-alwayson,15488254,acme-na-search-alwayson::ag3,Search,USD,3222919196,39515,1818,40.57,4374.54
2026-06-22,ACME_EMEA_SEARCH_Q2,17000758,ACME_EMEA_SEARCH_Q2::ag3,Performance Max,GBP,7958401984,76780,5973,225.62,17494.09
2026-06-22,ACME_NA_SEARCH_RETARGET_Q2,14592081,ACME_NA_SEARCH_RETARGET_Q2::ag2,Search,USD,3091694935,57453,2162,36.49,4003.33
2026-06-22,ACME-APAC-SEARCH-Q2,18076907,ACME-APAC-SEARCH-Q2::ag4,Display,USD,1697925477,23842,863,15.93,1372.21
2026-06-29,ACME_NA_SEARCH_Q2,15801433,ACME_NA_SEARCH_Q2::ag4,Search,USD,10102336885,52410,3379,130.69,9684.90
2026-06-29,acme-na-search-alwayson,21488254,acme-na-search-alwayson::ag2,Search,USD,3879152629,21652,1617,49.97,3244.81
2026-06-29,ACME_EMEA_SEARCH_Q2,15000758,ACME_EMEA_SEARCH_Q2::ag1,Performance Max,GBP,8087161160,35682,2393,30.97,1655.68
2026-06-29,ACME_NA_SEARCH_RETARGET_Q2,13592081,ACME_NA_SEARCH_RETARGET_Q2::ag1,Search,USD,2983001345,42935,1936,63.09,3023.32
2026-06-29,ACME-APAC-SEARCH-Q2,18076907,ACME-APAC-SEARCH-Q2::ag3,Display,USD,1192444792,8662,683,13.81,910.35
